Private Entity,External URI,Confidence
http://example.org/RayWood,http://www.wikidata.org/entity/Q1777890,1.0
http://example.org/Hebburn,http://www.wikidata.org/entity/Q984308,1.0
http://example.org/PatrickOconnell,http://www.wikidata.org/entity/Q1789802,1.0
http://example.org/LeeMartin,http://www.wikidata.org/entity/Q219372,1.0
http://example.org/Hyde,http://www.wikidata.org/entity/Q2080165,1.0
http://example.org/CharlieSagar,http://www.wikidata.org/entity/Q1811696,1.0
http://example.org/Lancashire,http://www.wikidata.org/entity/Q23077,1.0
http://example.org/JimmyCoupar,http://www.wikidata.org/entity/Q1839481,1.0
http://example.org/Dundee,http://www.wikidata.org/entity/Q123709,1.0
http://example.org/JeffWhitefoot,http://www.wikidata.org/entity/Q1840304,1.0
http://example.org/Cheadle,http://www.wikidata.org/entity/Q1615894,1.0
http://example.org/DannyDrinkwater,http://www.wikidata.org/entity/Q1862778,1.0
http://example.org/LukeChadwick,http://www.wikidata.org/entity/Q1877042,1.0
http://example.org/Cambridge,http://www.wikidata.org/entity/Q350,1.0
http://example.org/MarkRobins,http://www.wikidata.org/entity/Q1900410,1.0
http://example.org/Ashtonunderlyne,http://www.wikidata.org/entity/Q659803,1.0
http://example.org/CameronStewart,http://www.wikidata.org/entity/Q1921734,1.0
http://example.org/WillieWatson,http://www.wikidata.org/entity/Q1925120,1.0
http://example.org/NewStevenston,http://www.wikidata.org/entity/Q7011958,1.0
http://example.org/MickeyThomas,http://www.wikidata.org/entity/Q1931375,1.0
http://example.org/Mochdre,http://www.wikidata.org/entity/Q6887543,1.0
http://example.org/NeilDewar,http://www.wikidata.org/entity/Q1974724,1.0
http://example.org/Lochgilphead,http://www.wikidata.org/entity/Q1017159,1.0
http://example.org/JohnnyGorman,http://www.wikidata.org/entity/Q1983316,1.0
http://example.org/NickyWood,http://www.wikidata.org/entity/Q1985827,1.0
http://example.org/Oldham,http://www.wikidata.org/entity/Q202628,1.0
http://example.org/MarkWilson,http://www.wikidata.org/entity/Q1993337,1.0
http://example.org/Scunthorpe,http://www.wikidata.org/entity/Q913386,1.0
http://example.org/NoelCantwell,http://www.wikidata.org/entity/Q1995368,1.0
http://example.org/Cork,http://www.wikidata.org/entity/Q36647,1.0
http://example.org/WilfMcguinness,http://www.wikidata.org/entity/Q2006716,1.0
http://example.org/GeorgeWall,http://www.wikidata.org/entity/Q2028098,1.0
http://example.org/TheBoldons,http://www.wikidata.org/entity/Q1619083,1.0
http://example.org/TerryCooke,http://www.wikidata.org/entity/Q2035891,1.0
http://example.org/MarstonGreen,http://www.wikidata.org/entity/Q1622488,1.0
http://example.org/JamieWood,http://www.wikidata.org/entity/Q2051954,1.0
http://example.org/JoeDudgeon,http://www.wikidata.org/entity/Q2080666,1.0
http://example.org/Leeds,http://www.wikidata.org/entity/Q39121,1.0
http://example.org/JamesMcnaught,http://www.wikidata.org/entity/Q2095562,1.0
http://example.org/Dumbarton,http://www.wikidata.org/entity/Q34779,1.0
http://example.org/GeorgeVose,http://www.wikidata.org/entity/Q2112706,1.0
http://example.org/MountStHelens,http://www.wikidata.org/entity/Q4675,1.0
http://example.org/JohnDoherty,http://www.wikidata.org/entity/Q2118301,1.0
http://example.org/RayBaartz,http://www.wikidata.org/entity/Q2133837,1.0
http://example.org/Australia,http://www.wikidata.org/entity/Q408,1.0
http://example.org/Newcastle,http://www.wikidata.org/entity/Q57278,1.0
http://example.org/ChrisEagles,http://www.wikidata.org/entity/Q296207,1.0
http://example.org/HemelHempstead,http://www.wikidata.org/entity/Q3532,1.0
http://example.org/BryanRobson,http://www.wikidata.org/entity/Q296583,1.0
